open,high,low,close,Volume
103.43,104.43,100.9,102.8,20013.15785307
102.79,104.02,102.11,103.95,5032.16102267
103.97,106.59,103.42,105.47,9751.10001612
105.49,105.88,103.59,103.8,8606.89733487
103.87,104.57,102.1,102.91,8100.95462559
102.65,104.58,102.65,103.53,5851.95213725
103.65,105.0,103.38,105.0,8902.8109122
104.87,105.95,104.01,104.7,10034.69026204
104.91,105.51,103.7,104.1,2455.8377733
103.91,104.71,102.89,104.35,2716.69828889
104.31,105.25,104.11,104.7,3331.43998797
104.82,105.71,103.73,104.54,3351.3002022
104.38,109.4,104.37,108.21,14368.14806515
108.37,108.78,107.4,107.51,6539.32017794
107.51,108.06,106.89,107.6,5692.2749159
107.6,110.07,107.6,108.55,4177.42524728
108.4,108.75,107.95,108.35,1521.30265737
108.44,108.59,105.56,106.2,6873.96624462
106.22,106.53,104.78,106.01,2007.79522687
105.74,105.9,104.88,105.77,2356.36917748
105.56,106.64,105.47,105.81,2581.24476759
105.84,106.12,103.0,104.1,6803.6481117
103.91,104.32,103.11,103.28,7201.87102248
103.42,106.84,103.31,105.7,21516.65129536
105.66,106.71,105.57,105.68,6195.76476614
