open,high,low,close,Volume
1.14799342,1.14932644,1.11375778,1.11961264,12331544.8902349
1.11936503,1.12087358,1.08452911,1.10816233,15594499.3197235
1.10874854,1.12060755,1.09467069,1.10568134,16391822.5844723
1.10532553,1.1429395,1.09924336,1.12965814,13119334.9108553
1.13002047,1.14492514,1.11675544,1.12857474,16608434.812161
1.12867688,1.13485761,1.11279461,1.1310151,10884129.4321167
1.13027914,1.14526609,1.12196338,1.13897962,19089418.2098784
1.13858335,1.14223562,1.11578013,1.12709719,10562011.7995329
1.12668595,1.13929723,1.11350447,1.1206225,12667325.4763536
1.11905386,1.1380389,1.10412772,1.13016641,14726575.4629244
1.13018747,1.17946793,1.12643432,1.14378702,26686489.0139005
1.14349672,1.1594976,1.09719108,1.122295,14289970.4575055
1.12215836,1.12903444,1.10928869,1.12283069,13115899.2909158
1.12342184,1.13581196,1.11165898,1.1222406,17897084.0700191
1.12262314,1.12569205,1.11285242,1.11705504,14200610.2747525
