open,high,low,close,Volume
165.34,172.78,160.31,166.9,48183.85562061
166.17,175.06,166.17,170.47,10904.25310306
170.73,171.44,163.61,164.03,7276.97119775
164.54,169.38,162.27,166.76,10475.84142789
166.53,169.62,164.27,165.08,7726.02310462
166.56,170.55,164.73,168.86,5524.50574175
168.84,173.61,168.13,169.97,6624.07686244
169.84,170.12,167.18,168.48,959.67438355
168.26,169.93,168.03,169.18,1509.13234964
169.29,171.0,168.56,168.7,6889.44296324
168.63,169.7,157.52,159.56,27310.31830349
159.56,165.49,152.26,165.0,34073.5968252
165.11,167.7,162.22,165.71,7179.7519068
166.32,166.67,163.64,165.28,5089.67439188
165.44,167.46,163.74,166.95,7613.84175003
166.57,167.38,164.17,165.25,9824.39294995
165.24,167.1,161.05,164.15,15276.20849457
164.36,168.79,163.51,167.56,10676.99876319
167.55,177.36,167.45,173.79,13232.38782829
174.0,175.88,173.71,174.76,6147.53478213
175.36,175.43,173.61,174.91,1586.2088203
174.71,175.62,172.45,172.76,1443.65753146
172.44,173.29,168.5,169.96,4492.20537016
170.68,175.6,170.68,174.06,5729.31105333
174.0,175.49,170.35,173.8,6079.84710033
173.98,174.92,171.27,171.47,2081.14712913
171.47,172.36,169.07,170.15,1826.95603662
170.62,171.62,168.77,169.76,2514.31200258
169.67,169.68,164.3,167.4,7320.62513757
166.88,169.85,165.63,166.34,3750.96940343
166.87,172.15,166.87,169.42,3321.45824076
169.47,169.99,167.32,168.22,3086.77380611
168.36,168.36,165.2,166.89,11139.13055508
166.59,175.17,166.54,173.1,12652.08511212
173.12,179.36,172.05,179.29,13450.54548599
