open,high,low,close,Volume
184.0,185.7,183.22,184.59,2053.23163022
184.56,186.12,176.65,183.0,8881.09290847
183.0,184.96,175.59,175.92,5725.63355586
175.89,178.03,171.41,173.13,7709.00251606
173.47,175.79,170.82,175.53,6956.85441744
175.44,236.49,173.3,180.03,262686.07891529
179.97,182.5,176.33,180.59,13465.3590341
180.84,183.89,178.68,179.25,7335.71994234
179.32,183.06,176.11,178.38,8118.35088034
178.42,180.01,176.6,179.08,13099.3108676
179.09,181.45,178.31,178.7,7149.07937644
178.75,189.0,176.95,184.69,20515.18393474
184.88,185.64,179.37,180.68,9156.56543297
180.7,184.16,179.48,182.83,27315.39138338
183.14,183.5,180.59,181.18,8201.7419781
181.36,182.5,179.81,182.36,5618.25145221
182.28,183.36,180.47,182.07,5208.67975537
