open,high,low,close,Volume
41.6,41.649,41.358,41.51,406.80789184
41.538,41.926,40.672,40.772,10088.26440717
40.717,41.058,40.38,40.758,7208.635193
40.791,41.381,40.791,41.068,1457.16298604
41.002,41.439,40.939,41.19,463.49633612
41.191,41.51,41.084,41.381,1546.02386581
41.415,41.72,41.191,41.421,2089.28880488
41.45,41.645,41.291,41.413,1477.16275573
41.455,41.674,41.218,41.32,3429.63693288
41.27,41.41,41.025,41.171,1174.75246329
41.146,41.812,41.112,41.639,856.79385621
41.692,41.747,41.521,41.571,3751.77781203
41.571,41.641,41.506,41.615,1025.31594613
41.601,41.818,41.391,41.55,1744.39150985
41.55,42.247,41.537,41.996,5036.21042507
