open,high,low,close,Volume
190.39,194.82,189.53,193.8,4673.36095937
193.7,195.0,192.83,194.18,2620.51271758
194.21,196.71,193.69,195.6,3041.79872109
195.6,196.65,194.27,196.4,5329.14082785
196.31,197.3,194.0,194.44,5448.03473292
194.34,195.81,194.3,195.32,3674.25862639
195.51,197.37,194.66,196.79,3201.58111012
196.81,197.56,194.63,195.34,2545.16749368
195.36,196.79,194.61,194.83,1886.03169553
194.83,195.49,190.41,192.94,9348.82163165
193.08,194.06,191.56,193.87,4804.81832981
193.85,199.21,190.6,197.43,13564.67163305
197.52,204.87,196.63,202.39,16514.60520861
202.4,204.29,190.73,190.89,11340.43703846
190.89,191.0,171.25,184.82,63346.96899766
184.39,187.63,182.07,182.56,9032.30254727
182.54,185.34,181.58,184.72,10218.23352994
184.87,185.35,178.86,179.13,6301.35557837
179.11,183.23,177.49,182.15,15039.36930407
