open,high,low,close,Volume
24.335,24.335,23.253,23.705,19080.48899715
23.66,23.69,22.727,22.854,26805.21617069
22.896,23.763,22.832,23.657,21009.33847763
23.658,24.114,23.341,24.114,12170.16994678
24.084,24.535,23.262,24.333,30009.51464096
24.319,24.709,24.002,24.3,25607.11019406
24.31,24.872,24.203,24.651,17037.60778452
24.67,24.684,24.097,24.152,14247.77768239
24.17,24.272,23.731,23.955,9704.08413639
23.862,24.056,22.6,22.776,14175.56716912
22.799,23.008,22.57,22.852,14613.81790788
22.812,23.196,22.709,22.846,22793.8534554
22.813,23.415,22.813,23.028,9825.19608995
23.014,23.148,22.124,22.34,18279.38443033
22.37,23.289,22.356,23.231,12898.12021305
23.263,23.397,23.019,23.063,11709.58449491
23.014,23.62,22.715,23.364,14536.32564917
23.373,23.515,23.12,23.156,10129.63324359
23.145,24.609,23.144,24.536,18164.90959886
24.58,24.626,23.958,24.263,15044.71794738
24.258,25.121,23.942,24.77,19821.5587218
24.773,25.176,24.37,24.554,17193.105433
24.548,24.646,24.072,24.617,8002.3130968
24.581,24.95,24.344,24.77,9405.59899311
24.827,25.09,24.134,24.234,12344.4088571
24.186,26.53,24.055,26.511,29926.88609352
26.519,27.764,26.338,27.209,21763.21435031
27.184,27.652,26.876,26.946,15908.83259032
27.046,27.213,26.109,26.591,19393.66078342
26.595,26.595,25.53,25.972,19302.27741273
26.029,26.272,25.187,26.022,18853.01101269
26.015,26.186,23.154,23.991,49052.432013
23.945,23.96,23.499,23.96,24315.87983236
23.927,24.176,23.325,23.644,21578.75700572
23.65,24.605,23.427,24.385,35356.53094897
24.315,25.669,24.085,25.183,23212.01582508
25.153,25.891,24.137,24.581,33185.0200684
24.588,25.436,23.769,23.956,22769.64385966
23.937,24.641,23.839,24.546,21507.51355541
24.49,24.848,24.359,24.556,12340.37283551
24.499,25.091,24.091,24.612,13097.90091907
24.614,24.737,23.938,24.109,8278.98194711
24.068,24.74,24.068,24.515,9064.61694231
24.514,24.532,23.743,24.079,9118.48604897
24.042,24.654,23.984,24.654,6396.40305391
24.675,25.298,24.51,24.654,16524.87321307
24.682,25.036,24.508,24.777,13365.82281642
