open,high,low,close,Volume
1.23904965,1.24389844,1.15997382,1.18108054,17109771.164767
1.18059748,1.18108054,1.12115239,1.16768727,19613633.4797532
1.16725876,1.18488347,1.13293391,1.13604677,9136588.10219296
1.13546015,1.1722136,1.13209624,1.14737029,8755383.53406445
1.14671283,1.17855333,1.14261812,1.15759824,6323855.24642779
1.15766633,1.15853329,1.10754613,1.1495662,19293968.5161532
1.1502103,1.17705827,1.12427192,1.17526926,12052975.4831961
1.1744099,1.17790938,1.15305466,1.1594488,6057710.01359229
1.15990114,1.17471025,1.15342443,1.17404617,4461351.1684096
1.17409529,1.18717014,1.13019241,1.14762143,7456656.90583054
1.1464668,1.1522094,1.10061677,1.11960348,15248690.3182679
1.12012106,1.12791435,1.10613051,1.10714377,6660109.30638565
1.10670394,1.12343729,1.06616408,1.08385783,17941330.8212158
1.08403785,1.0940476,1.06406157,1.08595807,8820707.1924612
1.08589018,1.11124618,1.06987922,1.0716571,7519681.12756279
1.07147059,1.10186519,1.05043022,1.07617988,8490003.09124323
1.07532087,1.108204,1.05845237,1.10525705,7631609.77539443
1.10575984,1.13135948,1.08750286,1.11657436,10114108.3901796
1.11701596,1.15991318,1.10460088,1.14408642,9697518.24692937
1.14467194,1.14810617,1.13384918,1.13879286,7073298.31226275
1.13833056,1.19261586,1.12802046,1.19225115,7241290.40459974
1.1917872,1.19989839,1.16409876,1.16458826,9498110.66535178
1.16568082,1.17387591,1.15208571,1.16217503,4746496.20387233
1.16211541,1.17468764,1.14328951,1.15162839,6822806.05952059
1.15253899,1.16042142,1.13235571,1.15017658,5041270.60707789
1.15021403,1.15934378,1.13689187,1.14120277,3273086.05099189
1.14081759,1.15210751,1.13870599,1.14631339,5681322.66092873
1.14680235,1.16935214,1.11821282,1.12501892,7147867.75719117
1.12501886,1.14768877,1.11182387,1.14599097,5374221.12545889
1.14539314,1.15170003,1.13119011,1.13607061,6515049.45252449
1.13562629,1.14666593,1.12083257,1.13293792,6431966.42890168
1.13268276,1.1584387,1.13023914,1.15626184,4425629.11316765
1.15650728,1.16630581,1.13774461,1.1414337,4581712.59081132
1.14130493,1.14530112,1.11947384,1.12708491,5246838.50135985
1.12674591,1.141133,1.11871436,1.13772998,7460228.57486025
