open,high,low,close,Volume
5.4256,5.4559,5.3167,5.3855,180997.50209
5.3858,5.4794,5.3233,5.458,205499.10209
5.458,5.4617,5.3362,5.4225,161379.20205
5.4226,5.45,4.9751,5.04,440674.40228
5.0375,5.2532,5.0106,5.2222,129692.30194
5.22,5.2529,5.1066,5.1564,104428.40175
5.1572,5.3144,5.1496,5.262,155178.40209
5.2642,5.3094,5.202,5.2394,154855.90211
5.2357,5.2357,4.98,5.0573,409105.10222
5.0634,5.0978,4.9067,5.0395,287000.30215
5.0362,5.0562,4.92,4.9233,179101.00211
4.9277,5.0355,4.7842,5.0107,241175.40213
4.9956,5.1096,4.9516,5.0218,160254.30198
5.0202,5.1999,5.0202,5.0821,234378.6021
5.0808,5.2245,5.06,5.2211,236022.40213
5.2254,5.3431,5.09,5.275,396151.50232
5.272,5.355,5.1503,5.349,354154.50222
5.348,5.475,5.1857,5.2568,439363.20231
5.2586,5.3017,4.935,5.1763,359425.4023
5.1744,5.1973,4.994,5.0223,133489.40216
5.0246,5.1342,4.9535,5.1185,221928.90212
5.1221,5.1221,4.844,4.9435,192820.30226
4.945,5.0919,4.897,5.0863,82684.50185
5.0927,5.2406,5.0586,5.2194,224922.50195
5.2195,5.3,5.177,5.2727,230926.60223
5.2769,5.348,5.216,5.2728,297866.70231
5.2783,5.3887,5.2621,5.3269,231933.00219
