open,high,low,close,Volume
0.02701,0.0272,0.02605,0.02655,12430487.6
0.02655,0.0268,0.02564,0.0265,27332227.5
0.0265,0.02711,0.026,0.02683,21723459.2
0.0268,0.02736,0.02631,0.0269,25120388.9
0.0269,0.02749,0.02641,0.02722,13668873.7
0.02726,0.02749,0.02651,0.0268,14452729.2
0.02677,0.028,0.02677,0.02799,20931140.1
0.028,0.02895,0.02745,0.0278,35653247.5
0.02781,0.0288,0.0268,0.02698,20016180.5
0.02698,0.02721,0.026,0.02644,34063331.9
0.02644,0.02831,0.0261,0.02812,30400823.3
0.02821,0.02858,0.02622,0.02666,65897702.8
0.02666,0.02698,0.02631,0.0265,10341773.6
0.02649,0.02678,0.02636,0.0264,10321931.9
0.02636,0.02665,0.02568,0.02611,16203155.8
