open,high,low,close,Volume
0.01152,0.01158,0.01141,0.01155,788834.9
0.01158,0.01196,0.01154,0.01169,1751867.0
0.01172,0.01196,0.01045,0.01055,8222111.4
0.01047,0.0111,0.01015,0.01096,5362036.6
0.01096,0.0115,0.01076,0.01133,2068296.8
0.01134,0.01142,0.01091,0.01104,1819636.4
0.01107,0.0115,0.01104,0.0115,2810453.4
0.0115,0.01151,0.01103,0.01113,3384442.8
0.01109,0.0114,0.01086,0.01099,2763523.5
0.01098,0.01146,0.01094,0.01125,1865634.5
0.01125,0.01146,0.01103,0.01144,2612722.6
0.01146,0.01156,0.01124,0.01156,2347522.2
0.01152,0.01163,0.01139,0.01159,1173168.8
0.01162,0.01168,0.01148,0.01163,1896981.4
0.0116,0.01163,0.0108,0.01115,10694623.3
0.01115,0.01153,0.01114,0.01138,3692159.4
0.01131,0.01153,0.0112,0.01151,1527161.2
0.01151,0.01153,0.011,0.01117,2308481.2
0.01117,0.0113,0.01108,0.01122,818416.1
0.01122,0.01166,0.01103,0.01103,5389670.4
0.01113,0.01113,0.01033,0.01047,8791821.2
