open,high,low,close,Volume
0.07382,0.07467,0.07352,0.07443,4611209.8
0.07445,0.07543,0.0742,0.07542,4996023.5
0.07542,0.07558,0.0744,0.07527,5794713.9
0.07523,0.0757,0.07306,0.0738,8262259.4
0.07373,0.07483,0.07358,0.07369,5200697.2
0.07365,0.07431,0.07258,0.07321,13777141.3
0.0732,0.07509,0.07287,0.07474,13809685.8
0.07483,0.07503,0.07367,0.07456,5946336.9
0.0746,0.07498,0.07425,0.0743,7241353.9
0.0743,0.07478,0.07423,0.07446,5366270.0
0.07446,0.07465,0.07333,0.07431,10342878.2
0.07431,0.07658,0.07376,0.07632,23245571.1
0.07633,0.07947,0.07633,0.07925,37264627.8
0.07927,0.08253,0.079,0.08039,37885207.2
0.08039,0.08264,0.08021,0.08101,22368523.2
0.08102,0.08373,0.08102,0.08343,17571702.4
0.08346,0.0854,0.08229,0.08509,32991294.8
0.08511,0.08515,0.08231,0.08255,25307187.2
0.08255,0.08435,0.08253,0.08313,12241314.2
0.08313,0.08447,0.08161,0.08388,13381664.8
0.08387,0.08625,0.08377,0.0852,22413724.6
0.08517,0.08587,0.08433,0.08442,9450608.3
0.08439,0.08619,0.0838,0.08541,12583635.2
0.08541,0.086,0.0808,0.08259,37238214.5
0.08258,0.08417,0.07792,0.07948,53101474.3
0.07943,0.08099,0.07817,0.07952,22230711.2
0.07956,0.08148,0.07863,0.08022,13612385.9
