open,high,low,close,Volume
0.19061226,0.19130044,0.18722347,0.18981202,5239731.81769337
0.19000094,0.19143663,0.18930581,0.19073776,2758105.29276003
0.19070838,0.1915454,0.18823198,0.18928927,4399410.72688768
0.18928999,0.1899572,0.18800647,0.18883916,2706461.84352497
0.18874456,0.18970293,0.18802731,0.18823802,1926181.65596964
0.18834027,0.18883016,0.18619471,0.18739193,4883141.44287715
0.18740806,0.18890982,0.18582527,0.18884386,1828699.11521208
0.18897856,0.19037153,0.18803171,0.18838866,2626661.75607248
0.18832269,0.18906163,0.18765569,0.18782346,1883955.12826814
0.18769689,0.18844836,0.18735818,0.18787028,1974840.15604329
0.18779275,0.18849184,0.18709429,0.18720263,2800477.32412461
0.18733914,0.1891557,0.18577435,0.18863059,3582286.6390973
0.18863515,0.19450405,0.18752627,0.19095581,7639405.56870093
0.19102689,0.19148458,0.18771283,0.1890436,3759501.8544401
0.18910201,0.18996494,0.18864559,0.18904863,2083304.66835922
0.18910054,0.18926919,0.18764155,0.18816664,2843262.34648337
0.1880869,0.18872203,0.18308857,0.18551155,9120027.36556266
0.1855184,0.18902639,0.18471211,0.18847834,4778511.6443791
0.18843012,0.18968723,0.18747509,0.18892328,3124252.73584099
