open,high,low,close,Volume
91.061,93.456,91.039,92.619,18710.15743344
92.537,102.98,91.523,100.16,142605.97613666
100.38,106.27,98.9,105.98,86524.91418785
105.98,109.43,96.879,101.53,132652.85358275
101.5,104.21,98.407,100.94,49820.49861012
100.89,112.64,99.097,107.57,111835.77871096
107.61,110.91,105.07,109.2,31201.40046998
109.41,111.81,107.25,108.32,37558.82549321
108.55,109.73,102.46,105.17,42112.17860758
105.17,108.97,104.05,106.05,24686.63169942
106.03,109.65,104.8,109.49,32477.65656778
109.48,109.89,107.15,108.04,8104.80025988
107.91,108.43,105.32,106.5,11249.2960564
106.62,109.1,106.23,108.02,12233.86433888
108.16,118.16,108.16,117.59,97851.56930298
