open,high,low,close,Volume
311.8,313.134,305.357,311.699,4370678.85282
311.699,312.695,305.42,305.858,2715933.50702
305.858,309.483,305.298,309.0,1780909.32365
309.0,309.4,291.979,294.6,3229660.7409
294.6,296.899,291.836,295.4,2791645.38448
295.4,306.891,290.422,303.4,3871600.83315
303.4,313.418,300.911,309.624,3931134.99619
309.624,312.5,307.142,308.445,3897785.7635
308.445,311.457,307.968,309.4,3102756.70309
309.4,314.719,305.9,306.25,3378661.29301
306.25,306.6,301.582,303.0,4226554.88178
303.0,324.361,302.803,311.948,8937156.75315
311.948,315.722,306.899,312.91,10882123.76789
312.91,316.475,308.054,315.917,4811128.58885
315.917,321.875,312.5,315.808,5710075.35535
315.808,323.468,311.6,320.401,9100671.82354
320.401,322.06,309.429,312.79,2779925.99328
312.79,312.862,301.785,303.012,6686990.23103
303.012,312.403,302.842,311.951,7025534.96782
311.951,312.476,306.433,307.57,6180823.84944
307.57,308.544,302.817,303.165,5560928.54074
303.165,306.992,295.127,297.391,10075923.45143
297.391,302.732,296.625,299.41,5353429.33028
299.411,305.6,296.923,299.419,4980643.49084
299.419,303.061,298.4,300.311,3900563.72877
