open,high,low,close,Volume
1.86,1.97,1.855,1.895,7454.7825
1.895,1.9225,1.8775,1.9025,1616.05
1.9025,1.94,1.885,1.895,2354.6925
1.895,1.9825,1.895,1.98,2653.5375
1.98,2.0,1.925,1.93,1463.475
1.93,1.94,1.915,1.93,3515.3
1.93,2.0975,1.8975,1.99,20669.07
1.99,2.01,1.89,1.9225,22506.655
1.9225,1.97,1.84,1.89,22249.3825
1.89,1.95,1.85,1.95,23233.85
1.95,1.99,1.95,1.98,2837.72
1.98,2.075,1.98,2.0675,3048.9075
2.0675,2.09,2.03,2.06,3640.1475
2.06,2.07,2.015,2.015,2400.5525
2.015,2.0275,1.955,1.96,761.1975
1.96,1.9725,1.92,1.96,1502.015
1.96,1.9875,1.925,1.9275,995.45
