open,high,low,close,Volume
261.15,268.03,251.47,259.92,13412.89475762
259.92,263.96,253.21,261.66,12827.74941993
261.61,281.36,258.36,277.83,7856.7129724
278.24,291.76,277.68,285.7,6851.92489455
285.56,287.96,278.45,284.16,3310.48482931
284.66,288.91,279.66,283.86,2732.91054175
284.2,296.99,282.17,294.13,7587.82956937
294.89,305.76,286.43,288.6,9709.48196227
288.6,292.32,276.87,281.17,6695.71213664
281.17,285.58,278.14,281.39,2331.2116796
281.61,293.08,281.0,289.54,2433.22398695
289.42,298.97,288.95,295.42,2466.09282432
295.5,298.94,285.13,291.1,5860.12606713
291.1,293.94,288.0,291.15,10524.04963074
291.21,291.56,281.37,286.62,2992.90383704
286.63,299.93,285.11,296.62,2411.63553954
296.74,302.98,295.87,301.38,4387.7559693
