open,high,low,close,Volume
2.3358,2.4,2.021,2.2512,44023927.0
2.2512,2.3138,2.2,2.251,14932361.0
2.2512,2.285,2.21,2.2392,8526068.0
2.2392,2.2636,2.144,2.2027,16249633.0
2.2027,2.219,2.0912,2.1087,13587072.0
2.1095,2.37,2.0768,2.1978,21947233.0
2.1971,2.2362,2.1114,2.2326,17108308.0
2.2319,2.2353,2.1049,2.1463,16104208.0
2.1464,2.2094,2.1225,2.1791,10698474.0
2.1795,2.2244,2.0989,2.1491,17529730.0
2.1492,2.2246,2.1311,2.1557,10825134.0
2.1557,2.175,2.05,2.0785,22991575.0
2.079,2.0843,1.9937,2.0218,18091522.0
2.0218,2.0553,1.8769,1.9091,40651474.0
1.9095,1.9391,1.7618,1.9117,66068172.0
1.911,1.985,1.8003,1.8477,27854935.0
1.847,1.9144,1.8107,1.8384,18766857.0
1.8384,1.9579,1.8336,1.8989,18179304.0
1.8985,2.0665,1.8975,2.0587,28726504.0
2.0599,2.2072,2.0525,2.1852,46040200.0
2.1852,2.2493,2.1424,2.239,26404392.0
2.2388,2.2665,2.2004,2.263,14080988.0
2.2637,2.284,2.1739,2.1944,16882217.0
2.1949,2.2682,2.1933,2.1989,12493104.0
2.1994,2.214,2.1604,2.1757,11624968.0
2.1754,2.2085,2.0767,2.0899,17783910.0
2.0896,2.1767,2.0841,2.1446,16671772.0
2.1446,2.1929,2.129,2.1798,10351205.0
2.1798,2.1817,2.0685,2.0749,9521544.0
2.0753,2.1102,2.0734,2.0933,8897691.0
2.0934,2.0976,2.0187,2.0373,15157252.0
2.0363,2.0786,2.0,2.0757,15010175.0
2.0754,2.2,2.0545,2.0811,21901009.0
2.0811,2.1315,2.0666,2.0745,10425486.0
2.076,2.0893,1.962,1.9921,18056120.0
1.9913,2.036,1.9514,2.0043,11867276.0
2.0043,2.0472,1.9924,2.0021,9367093.0
