open,high,low,close,Volume
145.19,148.1,144.29,147.75,15253.631976
147.83,149.0,143.65,144.15,20461.49940342
144.12,145.93,142.16,143.23,9429.27043921
143.4,144.97,140.11,140.68,12087.70252105
140.49,144.81,139.75,144.41,14330.51216284
144.47,146.34,144.11,146.04,6140.82186964
146.01,148.5,144.67,147.73,8005.81622041
147.73,150.37,146.71,147.31,12113.71544572
147.26,147.81,144.41,144.69,7429.61370261
144.43,145.0,142.67,144.79,6831.43579817
144.82,151.08,143.96,150.78,11324.6421003
150.92,152.37,150.72,151.07,14193.6619793
150.7,152.0,149.75,150.75,3745.87351745
150.75,154.76,150.75,152.55,25378.81407474
152.6,154.04,151.32,151.66,6490.17848215
151.97,153.72,150.76,153.19,15845.37576217
153.31,154.98,151.2,153.53,7802.73876517
153.79,158.92,153.23,158.78,8988.24805255
158.77,164.15,158.24,163.68,18802.63411478
163.64,165.44,162.78,165.09,19849.37324375
165.15,167.15,164.85,166.99,17798.39533795
167.14,168.17,164.68,166.26,6168.81868101
166.28,168.73,164.64,165.97,15947.2108242
165.97,167.32,165.37,166.6,2274.56397783
166.66,167.93,165.57,167.45,2151.11241029
167.31,172.66,167.19,171.97,12416.33023128
171.95,173.6,170.41,172.23,15951.81014453
172.23,172.75,168.18,169.11,6984.00815459
169.02,170.45,166.34,168.23,11896.1071552
168.42,169.24,167.44,167.85,4099.51295394
167.89,171.31,165.93,170.77,6207.40133234
170.78,172.62,168.5,169.35,7350.1503748
169.45,175.0,168.91,172.8,15334.34080284
172.74,173.07,169.2,170.56,9125.05139232
170.59,170.8,165.41,165.74,7078.28191108
