open,high,low,close,Volume
54.5,54.648,54.112,54.397,20157.27611682
54.26,54.487,52.511,52.849,49976.00434008
52.728,53.548,49.022,51.189,143611.63327727
51.11,52.381,50.931,51.354,33026.87956932
51.338,54.085,49.508,52.611,84233.04701144
52.55,53.8,51.25,52.5,75384.05352534
52.58,54.727,51.908,54.65,36146.28531462
54.65,55.053,53.014,53.989,44939.30972927
53.99,55.88,53.57,54.532,46052.89605774
54.536,54.758,53.036,54.25,50445.8903618
54.25,54.939,53.903,54.733,43079.79727051
54.725,55.455,54.147,54.845,34937.17925022
54.917,55.0,54.111,54.881,38468.70439999
54.88,56.0,54.811,55.83,49291.59121034
55.797,56.062,54.385,55.1,39255.59828452
55.01,55.6,54.42,54.765,16410.13044982
54.833,55.198,54.238,54.81,15375.03338158
54.77,56.1,54.769,55.523,39530.10942611
55.525,55.73,54.9,55.279,13084.92510511
55.359,55.528,54.565,54.636,16135.60578187
54.636,55.269,54.321,54.704,16839.94440592
