open,high,low,close,Volume
2.0975,2.18,2.055,2.0625,69537.54
2.0625,2.125,1.975,1.975,119787.355
1.975,2.0625,1.8925,1.93,96912.915
1.93,2.46,1.9275,2.1925,979430.76
2.1925,2.2975,2.13,2.13,175778.5525
2.13,2.4,2.0,2.2075,380773.5175
2.2075,2.66,2.2075,2.405,198753.555
2.405,2.4625,2.18,2.38,661403.87
2.38,2.44,2.3375,2.37,177097.695
2.37,2.4175,2.18,2.265,235528.7125
2.265,2.44,2.2175,2.4175,365440.7025
2.4175,3.3825,2.295,3.16,1012084.68
3.16,3.8175,3.11,3.3225,925896.6925
3.3225,3.52,3.195,3.205,1129264.685
3.205,3.235,2.98,3.22,464599.3425
3.22,3.27,3.0425,3.1675,255104.44
3.1675,3.3325,3.07,3.08,233424.1425
3.08,3.3525,3.07,3.135,149071.175
3.135,3.2425,3.085,3.1075,178458.585
