open,high,low,close,Volume
0.00206383,0.00213733,0.00205643,0.00206021,431880013.430005
0.0020605,0.00213478,0.0020571,0.00212807,82951333.4662958
0.00212814,0.00213415,0.00199335,0.00207985,23636608.87227
0.00207828,0.00207993,0.00194018,0.00194026,73232186.9532516
0.00194197,0.00207998,0.0019141,0.00198457,109182529.196199
0.00198443,0.00206959,0.00190699,0.00198413,146406205.488113
0.00198518,0.00201409,0.00191194,0.00200442,23683681.5797114
0.00200447,0.00201182,0.00190966,0.00191815,31329888.1099993
0.00191819,0.00199572,0.00191544,0.00198361,5256098.76968997
0.00198379,0.00204507,0.00186532,0.00191153,470042752.270954
0.00191422,0.00202069,0.0018994,0.00201897,291427115.737174
0.00201887,0.00212002,0.00194587,0.00211359,66088278.9981282
0.00204092,0.00213426,0.00199934,0.00207904,13460278.424149
0.00200695,0.00207837,0.00198513,0.00198558,51922932.9561731
0.00198548,0.00208394,0.00197187,0.00200044,43797107.9149121
0.00207209,0.00209567,0.00198139,0.00199849,33071877.4752999
0.00199996,0.00208123,0.00199065,0.00200954,8726870.356541
