open,high,low,close,Volume
1.84,1.93,1.785,1.785,8484.325
1.785,1.84,1.78,1.84,540.7825
1.84,1.87,1.81,1.87,1277.08
1.87,1.88,1.845,1.8675,537.56
1.8675,1.88,1.82,1.84,2369.58
1.84,1.88,1.8,1.88,3615.3625
1.88,1.9375,1.8725,1.93,3661.8725
1.93,1.94,1.9125,1.925,61.76
1.925,1.9375,1.875,1.9,2011.8375
1.9,1.91,1.855,1.8975,270.0525
1.8975,1.8975,1.855,1.8975,10019.405
1.8975,1.95,1.8975,1.94,2989.505
1.94,1.9425,1.905,1.9275,205.5625
1.9275,1.93,1.875,1.88,970.6375
1.88,1.93,1.875,1.92,7270.0325
1.92,1.98,1.91,1.9775,14125.105
1.9775,1.9775,1.95,1.96,27.425
