open,high,low,close,Volume
3.485e-05,3.512e-05,3.337e-05,3.346e-05,3647675421.51797
3.343e-05,3.423e-05,3.311e-05,3.393e-05,2516924622.4499
3.392e-05,3.499e-05,3.37e-05,3.393e-05,1987514383.56265
3.391e-05,3.432e-05,3.377e-05,3.396e-05,1390896036.47227
3.401e-05,3.434e-05,3.351e-05,3.396e-05,1225540235.58524
3.398e-05,3.454e-05,3.396e-05,3.415e-05,2332081049.42202
3.411e-05,3.447e-05,3.387e-05,3.437e-05,2593903461.9279
3.441e-05,3.485e-05,3.406e-05,3.423e-05,2798231012.98042
3.427e-05,3.447e-05,3.386e-05,3.434e-05,1320005587.20648
3.424e-05,3.433e-05,3.381e-05,3.421e-05,923092240.987224
3.419e-05,3.475e-05,3.41e-05,3.453e-05,2468840054.44821
3.475e-05,3.781e-05,3.475e-05,3.64e-05,18215812920.2408
3.636e-05,3.725e-05,3.607e-05,3.666e-05,4243717810.21757
3.666e-05,3.68e-05,3.506e-05,3.551e-05,7198536963.10073
3.547e-05,3.568e-05,3.409e-05,3.425e-05,3875661437.49752
3.425e-05,3.484e-05,3.4e-05,3.468e-05,1191469391.01186
3.461e-05,3.548e-05,3.364e-05,3.409e-05,9698882408.98364
3.399e-05,3.439e-05,3.173e-05,3.27e-05,21934359745.2993
3.26e-05,3.34e-05,3.23e-05,3.292e-05,3588151854.58839
