open,high,low,close,Volume
1.04987044,1.0943003,1.03048818,1.08530814,25133894.0976403
1.0851813,1.09975185,1.05417811,1.07314635,19589413.1552962
1.07364168,1.10529848,1.0440458,1.051251,17560603.3660847
1.0513464,1.07421536,1.02818986,1.041215,17312442.1833405
1.0415416,1.05001647,1.02989171,1.04587562,8097448.23001072
1.04204217,1.07610871,1.03238333,1.06138207,16565047.5200943
1.06237821,1.15193362,1.05837943,1.14777982,34751463.0177414
1.14891727,1.15638181,1.0615181,1.06602114,26440614.7093564
1.06618831,1.08598038,0.94142298,1.03699117,70059306.731808
1.03650928,1.15116986,1.01395364,1.13434669,47721423.9244405
1.13454065,1.21003292,1.11389143,1.18321658,36333268.0265193
1.1839213,1.22937805,1.13738288,1.22623794,45038907.1993733
1.22669917,1.27867027,1.21699733,1.25584759,62199949.198011
1.25620196,1.35154107,1.22345254,1.34607144,64742805.8154459
1.34598679,1.37609391,1.22028784,1.36392995,83492469.8493658
1.36409384,1.46593499,1.34355689,1.41761408,90775199.9367244
1.41734941,1.45582604,1.38376835,1.40140435,44509506.9080812
1.40189813,1.4648994,1.374973,1.43881247,43101413.2359788
1.43818041,1.44024655,1.32478936,1.42323568,62340641.2153695
1.42259842,1.43578122,1.35803468,1.37506305,32989915.8210458
1.37555342,1.43254734,1.3749043,1.40290868,18559058.1131376
1.40292128,1.45210193,1.37233881,1.38489034,31190634.4003319
1.38358824,1.40525105,1.28162218,1.35367683,47052991.5420483
1.35354687,1.38465194,1.30638325,1.36691999,27390093.5217846
1.36688195,1.38569664,1.32221214,1.3318404,22266613.4882997
1.33195796,1.38681318,1.31245523,1.37912702,22632595.2523761
1.37938631,1.40436822,1.33183263,1.35866276,19792367.5295095
1.35909491,1.41493794,1.32740953,1.38229639,31214807.848559
1.38282776,1.42016103,1.34838283,1.40257254,24650446.3537299
