open,high,low,close,Volume
6.259,6.318,5.924,5.985,2425785.672
5.982,6.04,5.946,5.998,590232.411
6.0,6.05,5.927,5.97,555618.756
5.974,6.057,5.622,5.683,1536589.089
5.679,5.798,5.66,5.72,762541.225
5.722,5.915,5.589,5.864,1413965.87
5.866,5.959,5.758,5.937,989665.426
5.939,5.96,5.77,5.857,477908.226
5.855,5.937,5.798,5.867,493341.766
5.867,5.932,5.691,5.923,790688.881
5.925,6.244,5.924,6.225,1335970.235
6.228,6.438,6.165,6.436,1605051.488
6.436,6.598,6.318,6.566,1255709.28
6.568,6.796,6.358,6.374,2058356.773
6.375,6.67,6.33,6.602,979615.153
6.615,6.84,6.569,6.791,1393762.279
6.796,7.089,6.784,7.002,1355626.485
7.002,7.109,6.86,7.002,1498242.967
6.998,7.339,6.87,7.311,1856608.401
7.307,7.472,7.243,7.42,1343995.589
7.417,7.499,7.286,7.334,1077274.427
7.336,7.393,7.142,7.246,1589225.091
7.24,7.509,7.223,7.361,1382223.595
7.361,7.374,7.079,7.097,1672334.654
7.098,7.408,7.075,7.172,1445038.027
7.173,7.184,6.879,7.098,1401584.176
7.1,7.933,7.086,7.886,2626702.672
7.894,7.913,7.737,7.842,1164008.461
7.847,8.074,7.8,7.967,1112871.414
7.964,7.98,7.779,7.849,1135773.844
7.847,8.031,7.494,7.981,2423207.329
7.976,8.505,7.951,8.096,3849872.92
8.094,8.497,8.071,8.476,1637861.155
